index;included;reason;reason_other;search query;name;full_name;description;fork;html_url
24;true;REASON;REASON_OTHER;pipeline framework language:python@page2;midas;bioinformatics-ua/midas;MIDAS is a multi-framework DataLoader that can be leverage to produce highly efficient data pipelines;false;https://github.com/bioinformatics-ua/midas
25;true;REASON;REASON_OTHER;pipeline framework language:python@page2;niceml;codecentric-oss/niceml;" niceML 🍦 is a Python-based MLOps framework designed to streamline the development and maintenance of machine learning projects, offering efficient and scalable pipelines using TensorFlow and Dagster.";false;https://github.com/codecentric-oss/niceml
29;true;REASON;REASON_OTHER;pipeline framework language:python@page2;dyda;numbersprotocol/dyda;Dynamic data pipeline framework;false;https://github.com/numbersprotocol/dyda
30;true;REASON;REASON_OTHER;pipeline framework language:python@page2;Pipeline.py;KOLANICH-libs/Pipeline.py;A framework to build pipelines;false;https://github.com/KOLANICH-libs/Pipeline.py
36;true;REASON;REASON_OTHER;pipeline framework language:python@page2;deba;pckhoi/deba;Environment-agnostic data pipeline framework;false;https://github.com/pckhoi/deba
37;true;REASON;REASON_OTHER;pipeline framework language:python@page2;data-pipeline-demo-1;AlexandreGarito/data-pipeline-demo-1;This project is a Python-coded and GCP-hosted micro-ETL data pipeline and interactive dashboard that displays API data using the Dash-Plotly web framework, updated daily using DevOps tools such as CI/CD, Docker, and Airflow.;false;https://github.com/AlexandreGarito/data-pipeline-demo-1
42;true;REASON;REASON_OTHER;pipeline framework language:python@page2;snowflet;bluefloyd00/snowflet;Snowflake pipeline, etl, data science framework;false;https://github.com/bluefloyd00/snowflet
44;true;REASON;REASON_OTHER;pipeline framework language:python@page2;DataPipelines;DragosManailoiu/DataPipelines;scripts to automate the ETL/ELT process using cloud and orchestration frameworks;false;https://github.com/DragosManailoiu/DataPipelines
55;true;REASON;REASON_OTHER;pipeline framework language:python@page2;ETLite;elau1004/ETLite;A lightweight framework to host your ETL data-pipeline;false;https://github.com/elau1004/ETLite
61;true;REASON;REASON_OTHER;pipeline framework language:python@page2;spine;shaharluftig/spine;Spine: the backbone of your data pipeline.;false;https://github.com/shaharluftig/spine
65;true;REASON;REASON_OTHER;pipeline framework language:python@page2;betl;brianspurling/betl;A Kimball ETL (Extract, Transform, Load) framework for building robust data pipelines in Python;false;https://github.com/brianspurling/betl
72;true;REASON;REASON_OTHER;pipeline framework language:python@page2;CCAugmentation;pijuszczyk/CCAugmentation;Data preprocessing & augmentation framework, designed for working with crowd counting datasets, ML/DL framework-independent. Supports multitude of simple as well as advanced transformations, outputs and loaders, all of them to be combined using pipelines.;false;https://github.com/pijuszczyk/CCAugmentation
91;true;REASON;REASON_OTHER;data warehouse analysis language:python;runpandarun;simonwoerpel/runpandarun;A simple interface for reproducible & persistent data warehousing for small data analysis projects;false;https://github.com/simonwoerpel/runpandarun
105;true;REASON;REASON_OTHER;pipeline data science language:python;kedro;kedro-org/kedro;Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.;false;https://github.com/kedro-org/kedro
110;true;REASON;REASON_OTHER;pipeline data science language:python;disdat;kyocum/disdat;Data science tool for creating and deploying pipelines with versioned data ;false;https://github.com/kyocum/disdat
121;true;REASON;REASON_OTHER;pipeline data science language:python;villard;ariaghora/villard;A pipeline framework for data science projects;false;https://github.com/ariaghora/villard
127;true;REASON;REASON_OTHER;pipeline data science language:python;datanectar;wesmadrigal/datanectar;A project for streamlining large scale ETL and data science pipelines.;false;https://github.com/wesmadrigal/datanectar
129;true;REASON;REASON_OTHER;pipeline data science language:python;stau;connectedcars/stau;Data science pipeline tool for handling recurring workloads;false;https://github.com/connectedcars/stau
134;true;REASON;REASON_OTHER;pipeline data science language:python;data_science_pipeline;nickruta/data_science_pipeline;This project demonstrates all of the technologies needed to create an end-to-end data science pipeline. This includes consuming data from an original source, processing and storing it and finally providing machine-learning based results to end users.;false;https://github.com/nickruta/data_science_pipeline
137;true;REASON;REASON_OTHER;pipeline data science language:python;Science_report;TuanLe-BenKon/Science_report;Repo of online data pipeline and dashboard;false;https://github.com/TuanLe-BenKon/Science_report
138;true;REASON;REASON_OTHER;pipeline data science language:python;DSND_Data_Pipeline;hendrik-sill/DSND_Data_Pipeline;Data Science Nanodegree ETL and Machine Learning Pipeline Project;false;https://github.com/hendrik-sill/DSND_Data_Pipeline
141;true;REASON;REASON_OTHER;pipeline data science language:python;AutomaticDataScience;bilan604/AutomaticDataScience;Automating the entire data science pipeline from loading the data to comparing trained model performance metrics;false;https://github.com/bilan604/AutomaticDataScience
142;true;REASON;REASON_OTHER;pipeline data science language:python;snowflet;bluefloyd00/snowflet;Snowflake pipeline, etl, data science framework;false;https://github.com/bluefloyd00/snowflet
144;true;REASON;REASON_OTHER;pipeline data science language:python;data-science-modeling-framework;msarafzadeh/data-science-modeling-framework;Data Science frame work created to assist the modeling pipeline: from EDA, to model training, to best model selection, to threshold optimization, to model explainabilty.;false;https://github.com/msarafzadeh/data-science-modeling-framework
145;true;REASON;REASON_OTHER;pipeline data science language:python;Disaster-Response-pipeline-Project;AyaAbulnasr/Disaster-Response-pipeline-Project;Using Data Science with Machine Learning techniques (ETL pipeline and ML pipeline) to classify received messages after disasters.;false;https://github.com/AyaAbulnasr/Disaster-Response-pipeline-Project
149;true;REASON;REASON_OTHER;pipeline data science language:python;fika;karthikraja95/fika;Automate Data Science Workflow from Exploratory Data Analysis to Model Deployment;false;https://github.com/karthikraja95/fika
154;true;REASON;REASON_OTHER;pipeline data science language:python;21_DS_Branch;1337-Artificial-Intelligence/21_DS_Branch;The piscine focuses on basic programming skills with Python and the most popular and useful data science libraries. The participants will be able to collect data with parsing, preprocess data using Pandas and SQL and build pipelines with machine learning algorithms.;false;https://github.com/1337-Artificial-Intelligence/21_DS_Branch
159;true;REASON;REASON_OTHER;modular data pipeline language:python;datapackage-pipelines;frictionlessdata/datapackage-pipelines;Framework for processing data packages in pipelines of modular components.;false;https://github.com/frictionlessdata/datapackage-pipelines
160;true;REASON;REASON_OTHER;modular data pipeline language:python;kedro;kedro-org/kedro;Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.;false;https://github.com/kedro-org/kedro
161;true;REASON;REASON_OTHER;modular data pipeline language:python;MERlin;emanuega/MERlin;MERlin is an extensible analysis pipeline applied to decoding MERFISH data;false;https://github.com/emanuega/MERlin
162;true;REASON;REASON_OTHER;modular data pipeline language:python;automation;phytooracle/automation;Modular, Scalable Phenomic Data Processing Pipelines;false;https://github.com/phytooracle/automation
163;true;REASON;REASON_OTHER;modular data pipeline language:python;MONSDA;jfallmann/MONSDA;MONSDA, Modular Organizer of Nextflow and Snakemake driven hts Data Analysis;false;https://github.com/jfallmann/MONSDA
168;true;REASON;REASON_OTHER;modular data pipeline language:python;ralsei-py;snorkysnark/ralsei-py;Build modular data pipelines running inside the postgres database;false;https://github.com/snorkysnark/ralsei-py
169;true;REASON;REASON_OTHER;modular data pipeline language:python;End-to-end-ML-System-Benchmark;hpides/End-to-end-ML-System-Benchmark;A modular suite for benchmarking all stages of Machine Learning pipelines. To find bottlenecks in such pipelines and compare different ML tools, this framework can calculate and visualize several metrics in the data preparation, model training, model validation and inference stages.;false;https://github.com/hpides/End-to-end-ML-System-Benchmark
173;true;REASON;REASON_OTHER;pipeline data dashboard language:python;udacity-data-eng-proj3;shravan-kuchkula/udacity-data-eng-proj3;Built a stream processing data pipeline to get data from disparate systems into a dashboard using Kafka as an intermediary. ;false;https://github.com/shravan-kuchkula/udacity-data-eng-proj3
177;true;REASON;REASON_OTHER;pipeline data dashboard language:python;youtube_data_analysis;Nupurgopali/youtube_data_analysis;Created an optimised pipeline to provide accurate data for analysis, then used snowsight (provided by Snowflake) to create a dashboard.;false;https://github.com/Nupurgopali/youtube_data_analysis
178;true;REASON;REASON_OTHER;pipeline data dashboard language:python;Prescriber-ETL-data-pipeline;judeleonard/Prescriber-ETL-data-pipeline;An End-to-End ETL data pipeline that leverages pyspark parallel processing to process about 25 million rows of data coming from a SaaS application using Apache Airflow as an orchestration tool and various data warehouse technologies and finally using Apache Superset to connect to DWH for generating BI dashboards for weekly reports ;false;https://github.com/judeleonard/Prescriber-ETL-data-pipeline
190;true;REASON;REASON_OTHER;pipeline data dashboard language:python;NYC-Uber-Data-Engineering-Project-with-Google-Cloud-Platform;manyuzhang1996/NYC-Uber-Data-Engineering-Project-with-Google-Cloud-Platform;Deploying ETL pipeline on cloud, analyzing on BigQuery, dashboarding on Looker Studio;false;https://github.com/manyuzhang1996/NYC-Uber-Data-Engineering-Project-with-Google-Cloud-Platform
191;true;REASON;REASON_OTHER;pipeline data dashboard language:python;data-pipeline-demo-1;AlexandreGarito/data-pipeline-demo-1;This project is a Python-coded and GCP-hosted micro-ETL data pipeline and interactive dashboard that displays API data using the Dash-Plotly web framework, updated daily using DevOps tools such as CI/CD, Docker, and Airflow.;false;https://github.com/AlexandreGarito/data-pipeline-demo-1
193;true;REASON;REASON_OTHER;pipeline data dashboard language:python;Science_report;TuanLe-BenKon/Science_report;Repo of online data pipeline and dashboard;false;https://github.com/TuanLe-BenKon/Science_report
195;true;REASON;REASON_OTHER;pipeline data dashboard language:python;Marketing-Dashboard;Patcharanat/Marketing-Dashboard;Tools integration - Python data pipeline, SQLite database, Power BI Dashboard;false;https://github.com/Patcharanat/Marketing-Dashboard
196;true;REASON;REASON_OTHER;pipeline data dashboard language:python;LiveCryptocurrencyDashboard;edoardorealini/LiveCryptocurrencyDashboard;A full Big Data pipeline implemplement in Scala and Python for generating live predictions of crypos prices. Technologies: Python, Scala, Kafka, FB's Prophet, Cassandra and Plotly for final visualization. ;false;https://github.com/edoardorealini/LiveCryptocurrencyDashboard
206;true;REASON;REASON_OTHER;pipeline data dashboard language:python;Data-Streaming-Using-Kafka;ruslanmv/Data-Streaming-Using-Kafka;Built a stream processing data pipeline to get data from disparate systems into a dashboard using Kafka as an intermediary.;false;https://github.com/ruslanmv/Data-Streaming-Using-Kafka
209;true;REASON;REASON_OTHER;pipeline data dashboard language:python;Yelp-Data-Engineeering;Ezuniga13/Yelp-Data-Engineeering;Fully automated data pipeline using Python, Yelp API's, AWS RDS, s3 buckets, Docker and Streamlit to create a 3D interactive dashboard.;false;https://github.com/Ezuniga13/Yelp-Data-Engineeering
213;true;REASON;REASON_OTHER;modular data pipeline;datapackage-pipelines;frictionlessdata/datapackage-pipelines;Framework for processing data packages in pipelines of modular components.;false;https://github.com/frictionlessdata/datapackage-pipelines
214;true;REASON;REASON_OTHER;modular data pipeline;kedro;kedro-org/kedro;Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.;false;https://github.com/kedro-org/kedro
217;true;REASON;REASON_OTHER;modular data pipeline;automation;phytooracle/automation;Modular, Scalable Phenomic Data Processing Pipelines;false;https://github.com/phytooracle/automation
229;true;REASON;REASON_OTHER;modular data pipeline;XTL;brendon-ng/XTL;XTL - An Extensible Extract-Transform-Load (ETL) framework that streamlines data transfers between big data systems using a simple JSON configuration-based interface. XTL minimizes the programming needed for data transfer and processing, by providing a configuration-based modular and extensible structure for common data pipeline tasks.;false;https://github.com/brendon-ng/XTL
233;true;REASON;REASON_OTHER;modular data pipeline;Dunya;AlainDaccache/Dunya;Modular infrastructure for the Data Engineering, Data Science, and ML Engineering lifecycle. Serves as a generic baseline to kickstart Artificial and Business Intelligence pipelines with industry practices.;false;https://github.com/AlainDaccache/Dunya
236;true;REASON;REASON_OTHER;pipeline framework language:python;transform;tensorflow/transform;Input pipeline framework;false;https://github.com/tensorflow/transform
237;true;REASON;REASON_OTHER;pipeline framework language:python;fuel;mila-iqia/fuel;A data pipeline framework for machine learning;false;https://github.com/mila-iqia/fuel
238;true;REASON;REASON_OTHER;pipeline framework language:python;pipelinewise;transferwise/pipelinewise;Data Pipeline Framework using the singer.io spec;false;https://github.com/transferwise/pipelinewise
239;true;REASON;REASON_OTHER;pipeline framework language:python;mara-pipelines;mara/mara-pipelines;A lightweight opinionated ETL framework, halfway between plain scripts and Apache Airflow;false;https://github.com/mara/mara-pipelines
240;true;REASON;REASON_OTHER;pipeline framework language:python;PipelineDP;OpenMined/PipelineDP;PipelineDP is a Python framework for applying differentially private aggregations to large datasets using batch processing systems such as Apache Spark, Apache Beam, and more.;false;https://github.com/OpenMined/PipelineDP
242;true;REASON;REASON_OTHER;pipeline framework language:python;datapackage-pipelines;frictionlessdata/datapackage-pipelines;Framework for processing data packages in pipelines of modular components.;false;https://github.com/frictionlessdata/datapackage-pipelines
243;true;REASON;REASON_OTHER;pipeline framework language:python;Niffler;Emory-HITI/Niffler;Niffler: A DICOM Framework for Machine Learning and Processing Pipelines.;false;https://github.com/Emory-HITI/Niffler
246;true;REASON;REASON_OTHER;pipeline framework language:python;pipen;pwwang/pipen;pipen - A pipeline framework for python;false;https://github.com/pwwang/pipen
248;true;REASON;REASON_OTHER;pipeline framework language:python;Neuraxle;Neuraxio/Neuraxle;The world's cleanest AutoML library ✨ - Do hyperparameter tuning with the right pipeline abstractions to write clean deep learning production pipelines. Let your pipeline steps have hyperparameter spaces. Design steps in your pipeline like components. Compatible with Scikit-Learn, TensorFlow, and most other libraries, frameworks and MLOps environments.;false;https://github.com/Neuraxio/Neuraxle
253;true;REASON;REASON_OTHER;pipeline framework language:python;cliboa;BrainPad/cliboa;application framework for ETL(ELT) pipeline, process;false;https://github.com/BrainPad/cliboa
260;true;REASON;REASON_OTHER;pipeline framework language:python;bifrost;ledatelescope/bifrost;A stream processing framework for high-throughput applications.;false;https://github.com/ledatelescope/bifrost
263;true;REASON;REASON_OTHER;pipeline framework language:python;BioQueue;liyao001/BioQueue;A novel pipeline framework to accelerate bioinformatics analysis;false;https://github.com/liyao001/BioQueue
266;true;REASON;REASON_OTHER;pipeline framework language:python;xp;druths/xp;A framework (comand line tool + libraries) for creating flexible compute pipelines;false;https://github.com/druths/xp
270;true;REASON;REASON_OTHER;pipeline framework language:python;versatile-data-kit;vmware/versatile-data-kit;One framework to develop, deploy and operate data workflows with Python and SQL.;false;https://github.com/vmware/versatile-data-kit
285;true;REASON;REASON_OTHER;pipeline framework language:python;SmartPipeline;giacbrd/SmartPipeline;A framework for rapid development of robust data pipelines following a simple design pattern;false;https://github.com/giacbrd/SmartPipeline
287;true;REASON;REASON_OTHER;pipeline framework language:python;thepipe;tamasgal/thepipe;A simplistic, general purpose pipeline framework.;false;https://github.com/tamasgal/thepipe
288;true;REASON;REASON_OTHER;pipeline framework language:python;PipeLayer;greater-than/PipeLayer;A lightweight, event-driven, pipeline framework. ;false;https://github.com/greater-than/PipeLayer
294;true;REASON;REASON_OTHER;pipeline framework language:python;sparklanes;ksbg/sparklanes;A lightweight data processing framework for Apache Spark;false;https://github.com/ksbg/sparklanes
300;true;REASON;REASON_OTHER;pipeline framework language:python;spark_etl;stonezhong/spark_etl;Generic ETL Pipeline Framework for Apache Spark;false;https://github.com/stonezhong/spark_etl
306;true;REASON;REASON_OTHER;pipeline framework language:python;debussy_concert;debussy-labs/debussy_concert;Debussy is an opinionated Data Architecture and Engineering framework, enabling data analysts and engineers to build better platforms and pipelines.;false;https://github.com/debussy-labs/debussy_concert
308;true;REASON;REASON_OTHER;pipeline framework language:python;batchout;ilia-khaustov/batchout;Framework for building data pipelines;false;https://github.com/ilia-khaustov/batchout
309;true;REASON;REASON_OTHER;pipeline framework language:python;villard;ariaghora/villard;A pipeline framework for data science projects;false;https://github.com/ariaghora/villard
322;true;REASON;REASON_OTHER;pipeline framework language:python;pypeliner;allonios/pypeliner;a lightweight python framework for creating processing pipelines.;false;https://github.com/allonios/pypeliner
325;true;REASON;REASON_OTHER;pipeline framework language:python;dataframe-pipeline;IBM/dataframe-pipeline;Machine-learning pipeline framework for pandas and ONNX;false;https://github.com/IBM/dataframe-pipeline
329;true;REASON;REASON_OTHER;pipeline framework language:python;luisy;boschglobal/luisy;A Python framework to build reproducible, robust, and scalable data pipelines;false;https://github.com/boschglobal/luisy
330;true;REASON;REASON_OTHER;pipeline framework language:python;reliure;kodexlab/reliure;Minimal framework to manage data processing pipelines;false;https://github.com/kodexlab/reliure
332;true;REASON;REASON_OTHER;pipeline framework language:python;edgepipes;joakimeriksson/edgepipes;A small python framework for edge computing pipeline processing (Edge ML/AI);false;https://github.com/joakimeriksson/edgepipes
338;true;REASON;REASON_OTHER;pipeline dashboard framework;dendro;dendro-monitoring/dendro;Dendro is an open-source, serverless monitoring framework for small, distributed applications. Stream logs and metrics from your various servers to a central time-series store, then explore using our default dashboards and set up alerting!;false;https://github.com/dendro-monitoring/dendro
339;true;REASON;REASON_OTHER;pipeline dashboard framework;data-pipeline-demo-1;AlexandreGarito/data-pipeline-demo-1;This project is a Python-coded and GCP-hosted micro-ETL data pipeline and interactive dashboard that displays API data using the Dash-Plotly web framework, updated daily using DevOps tools such as CI/CD, Docker, and Airflow.;false;https://github.com/AlexandreGarito/data-pipeline-demo-1
